TERM,TERM_REDUCED,PHRASE,DOCUMENT,FREQ
false:0:reading,false reading,False readings ,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
probe:0:primer:1:inadequate:0:enzyme,enzyme primer inadequate probe,inadequate enzymes primers and probes,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
inadequate:0:enzyme,enzyme inadequate,inadequate enzymes,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
step,step,step,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,7
barrier,barrier,barriers,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
ddpcr:1:mirna:0:measurement:2:quality,ddpcr quality mirna measurement,quality of ddPCR miRNA measurements,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
model,model,model,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
optimization:0:technique,optimization technique,optimization techniques,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,3
technique,technique,techniques,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,3
essential:0:control,control essential,essential controls,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
control,control,controls,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
different:1:commercial:0:kit,commercial kit different,different commercial kits,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
ddpcr:0:evaluate,ddpcr evaluate,evaluate ddPCR ,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
synthetic:1:mirna:0:target:2:use,synthetic mirna use target,use of synthetic miRNA targets ,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
mirna:1:pcr:0:measurement,mirna pcr measurement,miRNA qRT PCR measurements ,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
pcr:0:measurement,pcr measurement,PCR measurements ,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
apply,apply,apply,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
identify:0:obstacle:1:circumvent,circumvent identify obstacle,circumvent identified obstacles,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
identify,identify,identified,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
way,way,way,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
limitation:0:inefficiency:1:identify,identify inefficiency limitation,identified inefficiencies and limitations ,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,4
inefficiency,inefficiency,inefficiencies,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
confidently:3:mirna:1:copy:0:number:2:quantify,number confidently copy mirna quantify,confidently quantify miRNA copy number,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
mirna:1:copy:0:number,number mirna copy,miRNA copy number,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
quantify,quantify,quantify,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
criterion:0:apply,apply criterion,apply these criteria ,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,3
criterion,criterion,criteria,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
measurement:0:technique,measurement technique,measurement technique ,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
standard:0:curve,standard curve,standard curves ,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
single:0:sample,single sample,single sample,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
specific:2:mirna:1:copy:0:number:3:quantify,number copy mirna specific quantify,quantify specific miRNA copy number ,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
validation,validation,validation,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
value:0:ratio,ratio value,ratio of values,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
measurement:1:single:0:unit,unit single measurement,single unit of measurement ,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,3
clinician,clinician,clinicians,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,3
technician,technician,technicians,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
scientist,scientist,scientists,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
mirna:0:measure:1:base,measure mirna base,base miRNA measures ,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
methodology,methodology,methodology,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
biotechnology,biotechnology,Biotechnology,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
micrornas,micrornas,microRNAs,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
microrna:1:quantitative:0:measurement:2:achieve,microrna achieve quantitative measurement,achieve quantitative measurements of microRNA ,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
bioscience,bioscience,Bioscience,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
genomic:0:measurement,genomic measurement,Genomic measurements,Steps to achieve quantitative measurements of microRNA using two-step droplet digital PCR,2
fine:0:ceramic,ceramic fine,fine ceramics,NIST Structural Ceramics Database - SRD 30,3
ceramic,ceramic,ceramics,NIST Structural Ceramics Database - SRD 30,13
engineering:0:ceramic,ceramic engineering,engineering ceramics,NIST Structural Ceramics Database - SRD 30,5
engineering,engineering,engineering,NIST Structural Ceramics Database - SRD 30,2
structural:0:ceramic,ceramic structural,structural ceramics,NIST Structural Ceramics Database - SRD 30,4
advanced:0:ceramic,advanced ceramic,advanced ceramics ,NIST Structural Ceramics Database - SRD 30,3
range,range,range,NIST Structural Ceramics Database - SRD 30,2
material,material,materials,NIST Structural Ceramics Database - SRD 30,20
property,property,properties,NIST Structural Ceramics Database - SRD 30,6
datum,datum,data,NIST Structural Ceramics Database - SRD 30,5
corrosion:0:resistant,corrosion resistant,resistant to corrosion,NIST Structural Ceramics Database - SRD 30,2
tend,tend,tend,NIST Structural Ceramics Database - SRD 30,2
mass:0:density,density mass,mass densities ,NIST Structural Ceramics Database - SRD 30,2
density,density,densities,NIST Structural Ceramics Database - SRD 30,3
electronic:0:substrate,electronic substrate,electronic substrates ,NIST Structural Ceramics Database - SRD 30,2
resistant:0:part,part resistant,resistant parts,NIST Structural Ceramics Database - SRD 30,3
characteristic,characteristic,characteristics,NIST Structural Ceramics Database - SRD 30,3
energy,energy,energies,NIST Structural Ceramics Database - SRD 30,2
temperature,temperature,temperature,NIST Structural Ceramics Database - SRD 30,3
material:0:range,range material,range of materials ,NIST Structural Ceramics Database - SRD 30,2
chemical,chemical,chemical,NIST Structural Ceramics Database - SRD 30,2
boride,boride,borides,NIST Structural Ceramics Database - SRD 30,5
nitride,nitride,nitride,NIST Structural Ceramics Database - SRD 30,4
carbide,carbide,carbides,NIST Structural Ceramics Database - SRD 30,3
ceramic:0:oxide,oxide ceramic,ceramic oxide,NIST Structural Ceramics Database - SRD 30,2
oxide,oxide,oxide,NIST Structural Ceramics Database - SRD 30,2
composition,composition,Composition,NIST Structural Ceramics Database - SRD 30,5
processing:0:detail,processing detail,processing details ,NIST Structural Ceramics Database - SRD 30,2
characterization,characterization,characterization,NIST Structural Ceramics Database - SRD 30,4
specification,specification,specification,NIST Structural Ceramics Database - SRD 30,2
structure,structure,structure,NIST Structural Ceramics Database - SRD 30,3
numeric:0:table:1:give,give table numeric,given in numeric tables,NIST Structural Ceramics Database - SRD 30,2
measured:0:value,measured value,measured values ,NIST Structural Ceramics Database - SRD 30,2
condition:0:procedure:1:measurement:0:method,condition method procedure measurement,measurement methods procedures and conditions,NIST Structural Ceramics Database - SRD 30,2
procedure,procedure,procedures,NIST Structural Ceramics Database - SRD 30,3
measurement:0:method,method measurement,measurement methods,NIST Structural Ceramics Database - SRD 30,2
evaluate,evaluate,evaluated,NIST Structural Ceramics Database - SRD 30,3
case,case,cases,NIST Structural Ceramics Database - SRD 30,2
datum:0:source,source datum,sources of the data ,NIST Structural Ceramics Database - SRD 30,2
detailed:0:bibliography,bibliography detailed,detailed bibliography,NIST Structural Ceramics Database - SRD 30,2
boride:0:carbide,carbide boride,borides carbides,NIST Structural Ceramics Database - SRD 30,2
diffusivitie:0:energy,energy diffusivitie,diffusivities energies,NIST Structural Ceramics Database - SRD 30,2
diffusivitie,diffusivitie,diffusivities,NIST Structural Ceramics Database - SRD 30,2
material:0:database,database material,material databases,NIST Structural Ceramics Database - SRD 30,2
material:0:property,property material,materials properties,NIST Structural Ceramics Database - SRD 30,2
nitride:0:oxide,nitride oxide,nitrides oxides,NIST Structural Ceramics Database - SRD 30,2
oxynitride,oxynitride,oxynitrides,NIST Structural Ceramics Database - SRD 30,2
structure:0:composition:1:material:0:characterization,structure composition characterization material,Materials characterization  Composition and structure,NIST Structural Ceramics Database - SRD 30,2
structure:0:composition,structure composition,Composition & structure,NIST Structural Ceramics Database - SRD 30,3
material:0:characterization,characterization material,Materials characterization,NIST Structural Ceramics Database - SRD 30,6
material:2:mechanical:0:property:1:material:0:characterization,characterization property mechanical material,Materials  Materials characterization  Mechanical properties,NIST Structural Ceramics Database - SRD 30,2
mechanical:0:property,property mechanical,Mechanical properties,NIST Structural Ceramics Database - SRD 30,3
reference:0:datum:1:standard,standard datum reference,Standards  Reference data,NIST Structural Ceramics Database - SRD 30,2
reference:0:datum,datum reference,Reference data,NIST Structural Ceramics Database - SRD 30,3
reference,reference,Reference,NIST Structural Ceramics Database - SRD 30,2
standard,standard,Standards,NIST Structural Ceramics Database - SRD 30,2
ceramic:0:material,ceramic material,Materials  Ceramics,NIST Structural Ceramics Database - SRD 30,2
thermal:0:property,thermal property,Thermal properties,NIST Structural Ceramics Database - SRD 30,2
datum,datum,data,NIST Property Data Summaries for Advanced Materials - SRD 150,3
survey,survey,surveys,NIST Property Data Summaries for Advanced Materials - SRD 150,2
derive,derive,derived,NIST Property Data Summaries for Advanced Materials - SRD 150,2
property:0:value,value property,property values ,NIST Property Data Summaries for Advanced Materials - SRD 150,3
property,property,property,NIST Property Data Summaries for Advanced Materials - SRD 150,15
value,value,values,NIST Property Data Summaries for Advanced Materials - SRD 150,4
collection,collection,collections,NIST Property Data Summaries for Advanced Materials - SRD 150,3
particular:0:property,property particular,particular properties ,NIST Property Data Summaries for Advanced Materials - SRD 150,3
material,material,Materials,NIST Property Data Summaries for Advanced Materials - SRD 150,14
study,study,Studies,NIST Property Data Summaries for Advanced Materials - SRD 150,2
chemical,chemical,chemical,NIST Property Data Summaries for Advanced Materials - SRD 150,2
validate:0:evaluated:1:typical,typical evaluated validate,typical evaluated or validated,NIST Property Data Summaries for Advanced Materials - SRD 150,2
alumina,alumina,alumina,NIST Property Data Summaries for Advanced Materials - SRD 150,2
base:0:glass:1:borate,glass borate base,borate base glasses,NIST Property Data Summaries for Advanced Materials - SRD 150,2
base:0:glass,glass base,base glasses,NIST Property Data Summaries for Advanced Materials - SRD 150,5
base,base,base,NIST Property Data Summaries for Advanced Materials - SRD 150,4
glass,glass,glasses,NIST Property Data Summaries for Advanced Materials - SRD 150,5
ceramic,ceramic,ceramics,NIST Property Data Summaries for Advanced Materials - SRD 150,2
chemical:0:property,property chemical,chemical properties,NIST Property Data Summaries for Advanced Materials - SRD 150,2
density,density,density,NIST Property Data Summaries for Advanced Materials - SRD 150,2
elastic:0:modulus,elastic modulus,elastic modulus,NIST Property Data Summaries for Advanced Materials - SRD 150,2
modulus,modulus,modulus,NIST Property Data Summaries for Advanced Materials - SRD 150,2
flexural:0:strength,strength flexural,flexural strength,NIST Property Data Summaries for Advanced Materials - SRD 150,2
strength,strength,strength,NIST Property Data Summaries for Advanced Materials - SRD 150,2
fracture:0:energy,energy fracture,fracture energy,NIST Property Data Summaries for Advanced Materials - SRD 150,2
fracture:0:toughness,toughness fracture,fracture toughness,NIST Property Data Summaries for Advanced Materials - SRD 150,2
base:0:glass:1:germanate,glass germanate base,germanate base glasses,NIST Property Data Summaries for Advanced Materials - SRD 150,2
grain:0:size,size grain,grain size,NIST Property Data Summaries for Advanced Materials - SRD 150,2
lattice:0:parameter,lattice parameter,lattice parameters,NIST Property Data Summaries for Advanced Materials - SRD 150,2
oxide:0:glass:1:mechanical:0:property,glass oxide property mechanical,mechanical properties oxide glasses,NIST Property Data Summaries for Advanced Materials - SRD 150,2
mechanical:0:property,property mechanical,Mechanical properties,NIST Property Data Summaries for Advanced Materials - SRD 150,5
porosity,porosity,porosity,NIST Property Data Summaries for Advanced Materials - SRD 150,2
shear:0:modulus,shear modulus,shear modulus,NIST Property Data Summaries for Advanced Materials - SRD 150,2
base:0:glass:1:silicate,glass base silicate,silicate base glasses,NIST Property Data Summaries for Advanced Materials - SRD 150,2
silicon:0:carbide,carbide silicon,silicon carbide,NIST Property Data Summaries for Advanced Materials - SRD 150,2
single:0:crystal,single crystal,single crystal,NIST Property Data Summaries for Advanced Materials - SRD 150,2
structural:0:property,property structural,structural properties,NIST Property Data Summaries for Advanced Materials - SRD 150,2
tensile:0:strength,tensile strength,tensile strength,NIST Property Data Summaries for Advanced Materials - SRD 150,2
thermal:0:conductivity,conductivity thermal,thermal conductivity,NIST Property Data Summaries for Advanced Materials - SRD 150,2
thermal:0:diffusivity,thermal diffusivity,thermal diffusivity,NIST Property Data Summaries for Advanced Materials - SRD 150,2
thermal:0:expansion,thermal expansion,thermal expansion,NIST Property Data Summaries for Advanced Materials - SRD 150,2
thermal:0:property,thermal property,thermal properties,NIST Property Data Summaries for Advanced Materials - SRD 150,5
titanium:0:diboride,titanium diboride,titanium diboride,NIST Property Data Summaries for Advanced Materials - SRD 150,2
material:2:mechanical:0:property:1:material:0:characterization,characterization property mechanical material,Materials  Materials characterization  Mechanical properties,NIST Property Data Summaries for Advanced Materials - SRD 150,2
mechanical:0:property:1:material:0:characterization,characterization property mechanical material,Materials characterization  Mechanical properties,NIST Property Data Summaries for Advanced Materials - SRD 150,2
material:0:characterization,characterization material,Materials characterization,NIST Property Data Summaries for Advanced Materials - SRD 150,4
characterization,characterization,characterization,NIST Property Data Summaries for Advanced Materials - SRD 150,2
reference:0:datum:1:standard,standard datum reference,Standards  Reference data,NIST Property Data Summaries for Advanced Materials - SRD 150,2
reference:0:datum,datum reference,Reference data,NIST Property Data Summaries for Advanced Materials - SRD 150,3
reference,reference,Reference,NIST Property Data Summaries for Advanced Materials - SRD 150,2
standard,standard,Standards,NIST Property Data Summaries for Advanced Materials - SRD 150,2
material:2:thermal:0:property:1:material:0:characterization,thermal property characterization material,Materials  Materials characterization  Thermal properties,NIST Property Data Summaries for Advanced Materials - SRD 150,2
superconductor,superconductor,Superconductors,NIST Property Data Summaries for Advanced Materials - SRD 150,2
security,security,security,National Vulnerability Database,8
automation,automation,automation,National Vulnerability Database,6
datum,datum,data,National Vulnerability Database,3
currently:1:nvd:0:house,nvd house currently,currently housed within the NVD,National Vulnerability Database,2
nvd,nvd,NVD,National Vulnerability Database,2
security:0:automation,security automation,security automation ,National Vulnerability Database,4
base,base,based,National Vulnerability Database,5
security:0:automation:1:datum,datum security automation,security automation data ,National Vulnerability Database,2
security:0:measurement,security measurement,security measurement,National Vulnerability Database,3
data,data,data,National Vulnerability Database,4
security:0:configuration,security configuration,security configuration ,National Vulnerability Database,2
configuration,configuration,Configuration,National Vulnerability Database,4
management,management,management,National Vulnerability Database,3
vulnerability,vulnerability,vulnerability,National Vulnerability Database,7
software:0:asset,asset software,software asset,National Vulnerability Database,2
software,software,software,National Vulnerability Database,2
support,support,support,National Vulnerability Database,2
product:0:name,name product,product names,National Vulnerability Database,3
product,product,product,National Vulnerability Database,5
software:0:flaw,software flaw,software flaws,National Vulnerability Database,2
checklist,checklist,Checklists,National Vulnerability Database,2
formal:1:validation:0:program,formal program validation,formal validation program ,National Vulnerability Database,2
vendor:0:product:1:ability,vendor product ability,ability of vendor products ,National Vulnerability Database,2
cvss,cvss,CVSS,National Vulnerability Database,2
vulnerability:0:management,vulnerability management,vulnerability management,National Vulnerability Database,2
cybersecurity,cybersecurity,Cybersecurity,National Vulnerability Database,6
synthesis,synthesis,synthesis,NanoUV-VIS- An interactive visualization tool for monitoring the evolution of optical properties of nanoparticlesthroughout synthesis reactions.,2
reaction,reaction,reactions,NanoUV-VIS- An interactive visualization tool for monitoring the evolution of optical properties of nanoparticlesthroughout synthesis reactions.,2
optical:0:property,property optical,optical properties ,NanoUV-VIS- An interactive visualization tool for monitoring the evolution of optical properties of nanoparticlesthroughout synthesis reactions.,2
property,property,properties,NanoUV-VIS- An interactive visualization tool for monitoring the evolution of optical properties of nanoparticlesthroughout synthesis reactions.,2
evolution,evolution,evolution,NanoUV-VIS- An interactive visualization tool for monitoring the evolution of optical properties of nanoparticlesthroughout synthesis reactions.,2
monitor,monitor,monitoring,NanoUV-VIS- An interactive visualization tool for monitoring the evolution of optical properties of nanoparticlesthroughout synthesis reactions.,2
nanomaterials:0:nanotechnology,nanotechnology nanomaterials,Nanotechnology  Nanomaterials,NanoUV-VIS- An interactive visualization tool for monitoring the evolution of optical properties of nanoparticlesthroughout synthesis reactions.,2
nanotechnology,nanotechnology,Nanotechnology,NanoUV-VIS- An interactive visualization tool for monitoring the evolution of optical properties of nanoparticlesthroughout synthesis reactions.,6
nanofabrication:0:manufacturing,manufacturing nanofabrication,Nanofabrication manufacturing ,NanoUV-VIS- An interactive visualization tool for monitoring the evolution of optical properties of nanoparticlesthroughout synthesis reactions.,2
manufacturing,manufacturing,manufacturing,NanoUV-VIS- An interactive visualization tool for monitoring the evolution of optical properties of nanoparticlesthroughout synthesis reactions.,6
nanochemistry,nanochemistry,Nanochemistry,NanoUV-VIS- An interactive visualization tool for monitoring the evolution of optical properties of nanoparticlesthroughout synthesis reactions.,2
computer:0:code,code computer,computer code ,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
code,code,code,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,5
hardware:0:base:1:simulation:0:approach:2:simulate,simulation simulate approach base hardware,simulated using hardware-based simulation approaches,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,3
hardware:0:base:1:simulation:0:approach,simulation approach base hardware,hardware-based simulation approaches,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
base,base,based,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
simulation,simulation,simulation,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
chemical:0:process,process chemical,chemical process ,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
chemical,chemical,chemical,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
process,process,process,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
nist:2:industrial:0:wireless:1:project,project wireless industrial nist,NIST Industrial Wireless project,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,4
wireless:0:system:1:integration:2:optimize,system integration optimize wireless,optimized for wireless system integration ,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
system,system,systems,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,4
integration,integration,integration,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
operational:0:performance:1:evaluation,evaluation operational performance,evaluation of operational performance ,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
performance,performance,performance,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,3
evaluation,evaluation,evaluation,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,3
sensor,sensor,sensor,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
equipment,equipment,equipment,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,3
experimental:0:procedure:1:specify,specify experimental procedure,specify the experimental procedure ,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
experimental:0:procedure,experimental procedure,experimental procedure ,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
material,material,materials,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,4
instrument,instrument,instruments,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,3
commercial:0:equipment,commercial equipment,commercial equipment,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
disclaimer,disclaimer,Disclaimer,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
paper:0:identify,identify paper,identified in this paper ,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
paper,paper,paper,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
identify,identify,identified,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
purpose,purpose,purpose,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
imply,imply,imply,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
intend,intend,intended,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,3
identification,identification,identification,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
recommendation,recommendation,recommendation,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
chemical:0:process:1:simulation,simulation process chemical,chemical process simulation,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
factory:0:operation,factory operation,Factory operations ,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,4
factory,factory,factory,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,3
operation,operation,operations,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,3
wireless:0:performance:1:evaluation,evaluation performance wireless,wireless performance evaluation,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
cyber:0:security:1:performance:2:evaluation,cyber performance security evaluation,cyber-security performance evaluation,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
cyber,cyber,Cyber,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
security,security,security,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
control,control,control,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,3
risk:0:management,risk management,Risk management,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,3
risk,risk,Risk,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
management,management,management,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
cybersecurity,cybersecurity,Cybersecurity,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
cyber:0:physical:1:system:2:information:0:technology,cyber physical technology information system,Information Technology  Cyber-physical systems,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
cyber:0:physical:1:system,system cyber physical,Cyber-physical systems,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,3
information:0:technology,technology information,Information Technology,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
control:2:factory:0:operation:1:planning,control factory planning operation,Factory operations planning & control,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
factory:0:operation:1:planning,factory planning operation,Factory operations planning ,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,4
planning,planning,planning,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
manufacturing,manufacturing,Manufacturing,Computer Code for Tennesse Eastman Industrial Wireless Systems Performance Evaluation,2
electrical:0:testing,electrical testing,Electrical testing,Enhanced durability of CNT based hierarchical composites subjected to accelerated aging environments.,2
